iter	Passed	Remaining
878	2634	362
879	2637	359
880	2640	356
881	2642	353
882	2645	350
883	2648	347
884	2650	344
885	2653	341
886	2655	338
887	2658	335
888	2661	332
889	2663	329
890	2666	326
891	2668	323
892	2671	320
893	2674	317
894	2676	314
895	2679	311
896	2682	308
897	2684	304
898	2687	301
899	2690	298
900	2693	295
901	2695	292
902	2698	289
903	2700	286
904	2703	283
905	2706	280
906	2708	277
907	2711	274
908	2714	271
909	2716	268
910	2718	265
911	2721	262
912	2723	259
913	2726	256
914	2729	253
915	2731	250
916	2734	247
917	2737	244
918	2739	241
919	2742	238
920	2744	235
921	2747	232
922	2750	229
923	2752	226
924	2755	223
925	2759	220
926	2762	217
927	2764	214
928	2767	211
929	2770	208
930	2773	205
931	2776	202
932	2778	199
933	2781	196
934	2783	193
935	2786	190
936	2788	187
937	2791	184
938	2793	181
939	2796	178
940	2798	175
941	2800	172
942	2803	169
943	2805	166
944	2808	163
945	2811	160
946	2814	157
947	2816	154
948	2818	151
949	2821	148
950	2824	145
951	2827	142
952	2829	139
953	2832	136
954	2835	133
955	2838	130
956	2840	127
957	2843	124
958	2845	121
959	2847	118
960	2850	115
961	2853	112
962	2856	109
963	2858	106
964	2861	103
965	2863	100
966	2866	97
967	2868	94
968	2870	91
969	2873	88
970	2876	85
971	2878	82
972	2880	79
973	2883	76
974	2886	74
975	2888	71
976	2891	68
977	2894	65
978	2897	62
979	2900	59
980	2903	56
981	2906	53
982	2909	50
983	2911	47
984	2914	44
985	2917	41
986	2919	38
987	2922	35
988	2925	32
989	2927	29
990	2930	26
991	2933	23
992	2936	20
993	2938	17
994	2941	14
995	2943	11
996	2946	8
997	2949	5
998	2952	2
999	2954	0
